"1041039360";"1041051647";"SE";"SWEDEN";"co.uk"
"1041051840";"1041052159";"SE";"SWEDEN";"co.uk"
"1041052176";"1041072127";"SE";"SWEDEN";"co.uk"
"1041088512";"1041096703";"AT";"AUSTRIA";"de"
"1041096704";"1041235967";"ES";"SPAIN";"co.uk"
"1041244160";"1041252351";"RU";"RUSSIAN FEDERATION";"co.uk"
"1041252864";"1041253119";"RU";"RUSSIAN FEDERATION";"co.uk"
"1041253376";"1041268735";"RU";"RUSSIAN FEDERATION";"co.uk"
"1041498112";"1041563647";"SE";"SWEDEN";"co.uk"
"1041563648";"1041596415";"PL";"POLAND";"co.uk"
"1041629184";"1041633103";"ES";"SPAIN";"co.uk"
"1041633120";"1041694719";"ES";"SPAIN";"co.uk"
"1041945088";"1041945151";"AT";"AUSTRIA";"de"
"1042120704";"1042153471";"PL";"POLAND";"co.uk"
"1042284544";"1042292735";"CH";"SWITZERLAND";"de"
"1042317312";"1042350079";"PL";"POLAND";"co.uk"
"1042350080";"1042415615";"RU";"RUSSIAN FEDERATION";"co.uk"
"1042546688";"1042677759";"ES";"SPAIN";"co.uk"
"1042841600";"1042874367";"AT";"AUSTRIA";"de"
"1042892288";"1042892319";"SE";"SWEDEN";"co.uk"
"1042892480";"1042892543";"PL";"POLAND";"co.uk"
"1042892968";"1042892975";"PL";"POLAND";"co.uk"
"1042892976";"1042892982";"CH";"SWITZERLAND";"de"
"1042893120";"1042893135";"AT";"AUSTRIA";"de"
"1042894144";"1042894175";"SE";"SWEDEN";"co.uk"
"1042939904";"1043070975";"ES";"SPAIN";"co.uk"
"1043202048";"1043333119";"AT";"AUSTRIA";"de"
"1043333120";"1043341311";"CH";"SWITZERLAND";"de"
"1043350588";"1043350591";"AT";"AUSTRIA";"de"
"1043357696";"1043365887";"CH";"SWITZERLAND";"de"
"1043480576";"1043488767";"CH";"SWITZERLAND";"de"
"1043609280";"1043609343";"AT";"AUSTRIA";"de"
"1043922944";"1043988479";"ES";"SPAIN";"co.uk"
"1044185088";"1044193279";"RU";"RUSSIAN FEDERATION";"co.uk"
"1044332544";"1044348927";"RU";"RUSSIAN FEDERATION";"co.uk"
"1044365312";"1044381695";"SE";"SWEDEN";"co.uk"
"1044381696";"1044383999";"RU";"RUSSIAN FEDERATION";"co.uk"
"1044384768";"1044389887";"RU";"RUSSIAN FEDERATION";"co.uk"
"1044447232";"1044451583";"SE";"SWEDEN";"co.uk"
"1044451840";"1044453183";"SE";"SWEDEN";"co.uk"
"1044453264";"1044454399";"SE";"SWEDEN";"co.uk"
"1044454416";"1044454423";"SE";"SWEDEN";"co.uk"
"1044454428";"1044454463";"SE";"SWEDEN";"co.uk"
"1044454496";"1044454511";"SE";"SWEDEN";"co.uk"
"1044454560";"1044454583";"SE";"SWEDEN";"co.uk"
"1044454656";"1044454911";"SE";"SWEDEN";"co.uk"
"1044463616";"1044479999";"SE";"SWEDEN";"co.uk"
"1044480000";"1044488191";"CH";"SWITZERLAND";"de"
"1044676608";"1044684799";"RU";"RUSSIAN FEDERATION";"co.uk"
"1044709376";"1044717567";"RU";"RUSSIAN FEDERATION";"co.uk"
"1044758528";"1044774911";"PL";"POLAND";"co.uk"
"1045138432";"1045138463";"AT";"AUSTRIA";"de"
"1045168128";"1045233663";"RU";"RUSSIAN FEDERATION";"co.uk"
"1045461728";"1045461735";"ES";"SPAIN";"co.uk"
"1045479424";"1045487615";"SE";"SWEDEN";"co.uk"
"1045495808";"1045692415";"ES";"SPAIN";"co.uk"
"1045716992";"1045725183";"RU";"RUSSIAN FEDERATION";"co.uk"
"1045741568";"1045741887";"SE";"SWEDEN";"co.uk"
"1045742016";"1045742763";"SE";"SWEDEN";"co.uk"
"1045742768";"1045743039";"SE";"SWEDEN";"co.uk"
"1045743048";"1045743055";"SE";"SWEDEN";"co.uk"
"1045743064";"1045743095";"SE";"SWEDEN";"co.uk"
"1045743120";"1045743191";"SE";"SWEDEN";"co.uk"
"1045743200";"1045743247";"SE";"SWEDEN";"co.uk"
"1045743264";"1045744383";"SE";"SWEDEN";"co.uk"
"1045744448";"1045744455";"SE";"SWEDEN";"co.uk"
"1045744640";"1045745639";"SE";"SWEDEN";"co.uk"
"1045745648";"1045745768";"SE";"SWEDEN";"co.uk"
"1045745880";"1045745919";"SE";"SWEDEN";"co.uk"
"1045745944";"1045746111";"SE";"SWEDEN";"co.uk"
"1045746144";"1045746159";"SE";"SWEDEN";"co.uk"
"1045746176";"1045746431";"SE";"SWEDEN";"co.uk"
"1045746444";"1045746495";"SE";"SWEDEN";"co.uk"
"1045746528";"1045747751";"SE";"SWEDEN";"co.uk"
"1045747760";"1045748287";"SE";"SWEDEN";"co.uk"
"1045748296";"1045748383";"SE";"SWEDEN";"co.uk"
"1045748400";"1045748407";"SE";"SWEDEN";"co.uk"
"1045748416";"1045748447";"SE";"SWEDEN";"co.uk"
"1045748456";"1045748479";"SE";"SWEDEN";"co.uk"
"1045889024";"1045921791";"ES";"SPAIN";"co.uk"
"1045921792";"1045954559";"PL";"POLAND";"co.uk"
"1045987328";"1046020095";"SE";"SWEDEN";"co.uk"
"1046036480";"1046052863";"PL";"POLAND";"co.uk"
